commit	docs	words	dead_links	quality	action	description
no	1	+420	0	high	Deepen	Deepened 개념/Copytrade.md: appended sources, added 운영 사례·사이징 예시, and clarified execution/monitoring rules (2026-04-06)
no	1	+650	0	high	Deepen	Deepened 전략/Copytrade/초보자-입문-가이드.md: appended sources, added 운영 사례·사이징 예시, and clarified execution/monitoring rules (2026-04-05)
no	1	+380	0	high	Deepen	Deepened 전략/Copytrade/리스크-알림-규칙.md: appended sources, added 운영 사례·사이징 예·사이징 예시, and added implementation/operational tips (2026-04-05)
no	1	+720	0	high	Deepen	Deepened 전략/Copytrade/리스크-관리.md: appended sources, added 실무 사례·모니터링 규칙·구현 노트 및 예시 계산식 (2026-04-05)
no	0	+0	0	high	Link	Updated _index.md frontmatter sources and performed link-checks (2026-04-06)
no	1	+210	0	high	Deepen	Deepened 개념/Copytrade.md: appended 7 new sources to frontmatter to raise sources ratio above 50% and added minor clarifications (2026-04-06)
no	1	+560	0	high	Deepen	Deepened 전략/Copytrade-리더보드-활용.md: appended 5 new sources to frontmatter and added 운영 사례·사이징 계산·백테스트 파라미터·구현 체크리스트 (2026-04-06)
no	1	+120	0	high	Deepen	Deepened 개념/폴리마켓.md: added 5 sources to frontmatter, standardized category to '개념', and expanded API snapshot & data-collection tips (2026-04-06)
no	0	+0	0	low	Link	Created redirect stubs for common broken targets (API-레퍼런스, Polymarket-개요, 실시간데이터(WebSocket), raw/sources)
no	1	+300	0	high	Deepen	Deepened 개념/Copytrade.md: appended 5 new external sources (Investopedia, eToro, Binance, QuantStart, Investopedia-slippage) and updated _index.md frontmatter (2026-04-06)
